transaction_id,transaction_time,transaction_amount,merchant,category,user_age,user_gender,user_city,device_type,is_international,previous_fraud_flag,transaction_frequency,account_balance,fraud_risk_score,is_fraud
T1000,2024-01-01 00:00:00,75731,Zomato,Luxury,20,Male,Delhi,Mobile,1,0,21,65444,0.655424,0
T1001,2024-01-01 00:01:00,56103,Croma,Luxury,38,Male,Bhopal,Laptop,0,1,35,80768,0.511912,0
T1002,2024-01-01 00:02:00,54781,Swiggy,Transport,61,Female,Mumbai,Laptop,0,0,6,22104,0.234124,0
T1003,2024-01-01 00:03:00,26666,Croma,Transport,29,Female,Pune,Laptop,0,0,39,50797,0.204164,0
T1004,2024-01-01 00:04:00,82508,Croma,Shopping,21,Female,Bhopal,Laptop,1,0,13,24057,0.662532,0
T1005,2024-01-01 00:05:00,28619,Unknown,Luxury,26,Female,Pune,Mobile,0,0,1,76192,0.11697600000000001,0
T1006,2024-01-01 00:06:00,69457,Flipkart,Transport,19,Female,Bhopal,Laptop,0,0,29,31446,0.35032800000000003,0
T1007,2024-01-01 00:07:00,50054,Flipkart,Transport,25,Male,Indore,Laptop,0,0,37,29084,0.29271600000000003,0
T1008,2024-01-01 00:08:00,85969,Croma,Luxury,32,Male,Indore,Laptop,0,0,13,93166,0.37637600000000004,0
T1009,2024-01-01 00:09:00,66825,Amazon,Shopping,20,Male,Bhopal,Laptop,0,0,37,26130,0.35980000000000006,0
T1010,2024-01-01 00:10:00,22734,Swiggy,Electronics,37,Male,Mumbai,Mobile,0,0,26,56442,0.15593600000000002,0
T1011,2024-01-01 00:11:00,71237,Unknown,Transport,47,Female,Bhopal,Laptop,0,0,31,18682,0.362448,0
T1012,2024-01-01 00:12:00,16761,Unknown,Electronics,22,Female,Indore,Mobile,1,0,38,68515,0.462044,0
T1013,2024-01-01 00:13:00,13548,Zomato,Shopping,26,Female,Indore,Mobile,0,0,2,8812,0.059191999999999995,0
T1014,2024-01-01 00:14:00,33893,Unknown,Luxury,24,Male,Mumbai,Laptop,0,0,3,69303,0.143072,0
T1015,2024-01-01 00:15:00,16415,Flipkart,Luxury,31,Female,Delhi,Laptop,1,0,14,40521,0.40065999999999996,0
